premise,hypothesis,label
"Two women, holding food carryout containers, hug.",Two groups of rival gang members flipped each other off.,2
"Two women, holding food carryout containers, hug.",Two women hug each other.,0
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,1
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,0
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is playing baseball on Saturn.,2
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a basketball game.,2
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A high school is hosting an event.,1
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,0
High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,2
High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,0
High fashion ladies wait outside a tram beside a crowd of people in the city.,The women enjoy having a good fashion sense.,1
"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.",1
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,0
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the mall shopping.,2
People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,1
People waiting to get on a train or just getting off.,There are people just getting on a train,0
People waiting to get on a train or just getting off.,There are people waiting on a train.,0
A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,0
A couple playing with a little boy on the beach.,A couple are playing frisbee with a young child at the beach.,1
A couple playing with a little boy on the beach.,A couple watch a little girl play by herself on the beach.,2
A couple play in the tide with their young son.,The family is sitting down for dinner.,2
A couple play in the tide with their young son.,The family is outside.,0
A couple play in the tide with their young son.,The family is on vacation.,1
A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,2
A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street.",0
A man and a woman cross the street in front of a pizza and gyro restaurant.,The couple are walking across the street together.,1
A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,2
A woman in a green jacket and hood over her head looking towards a valley.,The woman is cold.,1
A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are protesting outside the capital.,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing black.,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a woman walk down a crowded city street.,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are working for John's Pizza.,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,Olympic swimming.,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a soman are eating together at John's Pizza and Gyro.,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is waiting for a friend.,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman ordering pizza.,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The people are related.,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults run across the street to get away from a red shirted person chasing them.,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk home after a tasty steak dinner.,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults swimming in water,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people ride bicycles into a tunnel.,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road near the convicted prisoner dressed in red,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two friends cross a street.,1
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Some people board a train.,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,0
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",There are no women in the picture.,2
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street to get away from a red shirted person who is chasing them.,1
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is sleeping.,2
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.,0
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is walking next to each other.,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.",0
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman and man are playing baseball together.,2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",two coworkers cross pathes on a street,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.",2
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The mans briefcase is for work.,1
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,0
